pac_name,affiliate,total,dem,repub,lean,year
Pinnacle PAC,ex-Rep. John Campbell (R-Calif),18000,0,18000,Solidly Republican/Conservative,2018
One Generation PAC,Kenneth R Buck (R-Colo),18000,0,18000,Solidly Republican/Conservative,2018
Big Sky Values PAC,Gov. Steve Bullock (D-Mont),17900,17900,0,Solidly Democrat/Liberal,2018
Restore Democracy,Rick Nolan (D-Minn),17800,17800,0,Solidly Democrat/Liberal,2018
Maple PAC,Peter Welch (D-VT),17500,17500,0,Solidly Democrat/Liberal,2018
Luchadora PAC,Nanette Barragan (D-Calif),17500,17500,0,Solidly Democrat/Liberal,2018
Old North State PAC,Ted Budd (R-NC),17400,0,17400,Solidly Republican/Conservative,2018
Cincinnatus PAC,Cincinnati Mayor John Cranley (D),17000,17000,0,Solidly Democrat/Liberal,2018
Visionary PAC,Robin Kelly (D-Ill),17000,17000,0,Solidly Democrat/Liberal,2018
First Principles Fund,Ron DeSantis (R-Fla),17000,0,17000,Solidly Republican/Conservative,2018
NORM PAC,ex-Rep. Norm Dicks (D-Wash),17000,16000,1000,Solidly Democrat/Liberal,2018
New Energy In Washington House PAC,Daniel Milton Newhouse (R-Wash),16500,0,16500,Solidly Republican/Conservative,2018
Fairness PAC,Mayor Bill de Blasio (D-NY),16198,16198,0,Solidly Democrat/Liberal,2018
Sheriff PAC,Dave Reichert (R-Wash),16032,0,16032,Solidly Republican/Conservative,2018
